booking_id,session_id,hotel_id,provider_name,nights,booking_price_eur,commission_eur,booking_status
62,832,14,Expedia,4,444.31,57.74,confirmed
63,846,174,Booking.com,6,692.55,59.75,confirmed
64,852,21,HRS,5,615.2,81.99,confirmed
65,861,102,HRS,7,1055.41,92.94,confirmed
66,863,1,Agoda,2,305.9,29.71,confirmed
67,864,5,Booking.com,4,471.56,55.46,confirmed
68,880,170,HRS,6,1024.2,96.0,confirmed
69,889,203,Agoda,1,115.69,17.17,confirmed
70,896,56,HRS,4,481.5,41.92,confirmed
71,897,36,Hotels.com,4,531.3,60.55,confirmed
72,900,127,Agoda,2,264.37,31.73,confirmed
73,932,66,Hotels.com,3,210.13,31.35,confirmed
74,942,44,Agoda,2,254.1,35.05,cancelled
75,953,53,Hotels.com,4,485.1,52.4,confirmed
76,976,199,Booking.com,4,499.4,49.99,confirmed
77,1028,149,Booking.com,4,300.27,36.71,confirmed
78,1029,153,Agoda,4,477.15,39.31,confirmed
79,1056,66,HRS,6,414.76,40.46,cancelled
80,1063,108,Expedia,2,245.78,23.76,confirmed
81,1077,27,Expedia,2,368.26,45.3,cancelled
82,1087,27,Expedia,1,180.64,24.06,confirmed
83,1088,71,HRS,6,988.71,130.65,cancelled
84,1092,197,Booking.com,4,506.63,51.39,confirmed
85,1104,179,HRS,2,231.26,21.52,cancelled
86,1111,150,Booking.com,7,1078.43,149.72,confirmed
87,1117,101,HRS,7,999.12,99.4,cancelled
88,1121,196,Hotels.com,5,662.56,91.84,confirmed
89,1126,91,Booking.com,4,485.22,56.82,confirmed
90,1129,78,Expedia,4,389.74,33.83,confirmed
91,1138,143,Expedia,5,705.49,67.35,cancelled
92,1166,52,HRS,4,640.77,52.72,confirmed
93,1181,60,Expedia,3,416.25,39.33,confirmed
94,1182,145,Hotels.com,3,287.12,27.84,confirmed
95,1191,8,Hotels.com,4,552.54,49.46,confirmed
96,1240,57,Hotels.com,4,525.7,63.39,confirmed
97,1274,32,Hotels.com,7,991.41,85.78,confirmed
98,1285,68,Booking.com,6,986.48,138.55,confirmed
99,1302,53,Agoda,2,239.47,30.2,confirmed
100,1307,61,Expedia,3,375.45,32.99,confirmed
101,1316,209,Hotels.com,4,557.47,48.8,confirmed
102,1319,79,Booking.com,7,1053.57,140.25,confirmed
103,1321,177,Agoda,5,439.18,35.22,confirmed
104,1328,158,Hotels.com,2,179.37,20.64,confirmed
105,1334,26,Expedia,4,365.3,53.69,confirmed
106,1338,42,Booking.com,7,1203.7,156.48,confirmed
107,1355,1,Hotels.com,1,134.55,13.17,confirmed
108,1358,120,Booking.com,1,110.48,14.22,confirmed
109,1378,170,HRS,4,703.53,103.75,confirmed
110,1396,210,Expedia,6,986.37,83.07,confirmed
111,1398,52,Agoda,6,995.79,111.05,confirmed
112,1405,16,HRS,3,398.15,48.34,confirmed
113,1434,16,Expedia,4,518.45,57.3,confirmed
114,1437,84,Expedia,5,698.96,59.51,confirmed
115,1457,132,Expedia,7,1039.16,94.89,cancelled
116,1464,84,Hotels.com,2,268.63,35.79,confirmed
117,1465,134,Hotels.com,7,977.39,87.78,confirmed
118,1472,23,Booking.com,5,551.8,66.37,confirmed
119,1482,190,Booking.com,4,562.3,82.29,confirmed
120,1494,32,Expedia,7,1107.06,155.86,confirmed
121,1505,148,Booking.com,6,650.45,83.65,confirmed
122,1518,132,Expedia,1,148.8,12.75,confirmed
123,1524,40,Agoda,6,569.03,57.01,confirmed
124,1531,197,Agoda,2,262.22,33.04,confirmed
125,1534,100,Hotels.com,7,1001.57,96.67,confirmed
126,1539,106,Hotels.com,2,257.4,31.84,confirmed
127,1542,99,Expedia,1,124.47,13.61,confirmed
128,1578,105,Booking.com,3,382.53,43.93,confirmed
129,1584,35,Agoda,4,510.71,45.3,cancelled
130,1592,2,Booking.com,6,576.35,83.66,cancelled
131,1594,90,Expedia,1,120.52,17.59,confirmed
132,1595,130,Booking.com,4,450.8,57.7,confirmed
133,1606,18,Hotels.com,4,430.47,47.68,cancelled
134,1639,93,Booking.com,3,373.0,47.19,confirmed
135,1641,112,Hotels.com,7,969.37,121.94,confirmed
136,1662,45,Expedia,6,708.7,84.2,confirmed
137,1664,51,Booking.com,4,459.33,48.98,confirmed
138,1669,198,Agoda,2,285.55,39.17,confirmed
139,1673,173,Expedia,6,737.11,102.82,cancelled
140,1678,218,HRS,3,437.81,41.22,confirmed
141,1684,26,Agoda,1,93.46,10.24,confirmed
142,1685,209,HRS,6,849.32,69.43,confirmed
143,1694,130,Booking.com,1,101.97,12.29,confirmed
144,1699,181,Hotels.com,7,813.98,90.3,confirmed
145,1728,93,HRS,2,241.7,31.13,confirmed
146,1737,109,Booking.com,4,712.2,57.47,confirmed
147,1738,122,HRS,3,367.94,34.84,confirmed
148,1741,13,Expedia,2,230.11,30.77,confirmed
149,1750,114,Expedia,6,1019.79,109.24,confirmed
150,1759,75,Booking.com,6,787.59,92.49,confirmed
151,1783,23,Booking.com,4,457.42,49.88,cancelled
152,1795,197,Hotels.com,4,447.96,37.54,confirmed
153,1796,41,Hotels.com,5,648.29,54.2,confirmed
154,1800,115,Agoda,7,804.89,118.84,confirmed
155,1816,182,Expedia,1,72.29,6.15,confirmed
156,1824,76,HRS,1,141.97,18.76,confirmed
157,1831,76,Booking.com,4,590.14,53.39,confirmed
158,1851,75,Expedia,4,542.41,53.07,confirmed
159,1871,73,HRS,1,115.49,11.35,confirmed
160,1891,200,HRS,1,109.24,12.64,confirmed
161,1908,165,HRS,3,427.97,58.52,confirmed
162,1913,155,Hotels.com,6,973.41,120.79,confirmed
163,1923,94,Expedia,1,85.05,9.24,confirmed
164,1944,182,Agoda,5,369.01,35.9,confirmed
165,1945,185,Agoda,1,144.08,15.91,confirmed
166,1954,18,Agoda,5,526.72,78.88,confirmed
167,1969,105,Hotels.com,2,259.84,26.07,confirmed
168,1984,134,HRS,7,956.01,86.77,confirmed
169,2003,104,Agoda,6,792.64,95.56,confirmed
170,2014,161,Agoda,2,188.46,16.49,confirmed
171,2020,81,HRS,4,675.34,75.55,confirmed
172,2031,8,Booking.com,3,442.01,35.8,confirmed
173,2048,183,HRS,7,1243.66,102.95,confirmed
174,2059,26,HRS,7,734.78,59.34,confirmed
175,2130,74,HRS,1,116.59,11.01,confirmed
176,2131,91,Hotels.com,6,722.57,84.3,confirmed
177,2137,8,HRS,6,845.54,74.57,confirmed
178,2140,1,Hotels.com,2,299.18,41.6,cancelled
179,2145,149,Agoda,3,287.0,33.57,cancelled
180,2148,30,Hotels.com,5,483.94,48.47,confirmed
181,2156,133,HRS,4,469.85,39.01,confirmed
182,2185,98,Hotels.com,5,668.88,75.29,cancelled
183,2194,125,Booking.com,4,677.86,55.03,confirmed
184,2198,206,Agoda,7,709.5,89.06,confirmed
185,2201,23,Agoda,4,438.45,61.32,confirmed
186,2220,19,Booking.com,2,213.6,18.63,cancelled
187,2242,103,Agoda,6,731.72,65.03,confirmed
188,2251,102,HRS,6,929.42,113.13,cancelled
189,2263,91,HRS,3,346.75,39.41,cancelled
190,2265,18,Expedia,5,478.29,49.89,confirmed
191,2278,76,HRS,3,433.02,37.65,confirmed
192,2311,181,HRS,2,240.8,29.51,confirmed
193,2383,66,Agoda,6,391.01,35.51,confirmed
194,2387,87,HRS,6,914.84,104.22,confirmed
195,2389,92,HRS,4,586.55,70.03,confirmed
196,2408,135,Booking.com,3,485.78,66.87,confirmed
197,2418,138,Booking.com,5,571.75,81.67,confirmed
198,2424,29,Booking.com,6,771.82,100.24,confirmed
199,2429,179,HRS,1,110.78,16.08,confirmed
200,2442,76,HRS,7,972.33,136.1,confirmed
201,2448,42,HRS,3,462.29,45.26,confirmed
202,2457,103,Agoda,3,358.8,45.49,confirmed
203,2471,111,Expedia,7,739.41,107.25,confirmed
204,2475,160,HRS,7,523.05,77.48,confirmed
205,2477,191,Expedia,5,647.3,67.85,confirmed
206,2490,66,Agoda,1,74.44,6.57,cancelled
207,2503,101,Expedia,4,524.81,59.51,confirmed
208,2509,80,HRS,4,479.3,67.72,cancelled
209,2512,7,Booking.com,7,1125.01,137.27,confirmed
210,2521,34,Agoda,2,267.83,32.16,confirmed
211,2524,158,Hotels.com,5,569.96,47.62,cancelled
212,2541,174,HRS,3,334.05,38.81,confirmed
213,2566,105,Hotels.com,7,918.85,115.03,confirmed
214,2588,145,Hotels.com,2,187.97,19.7,confirmed
215,2596,147,Hotels.com,4,523.57,59.41,confirmed
216,2608,15,HRS,7,556.37,48.94,cancelled
217,2609,55,Expedia,1,160.53,20.46,confirmed
218,2613,178,HRS,5,665.78,95.41,confirmed
219,2614,137,Expedia,3,420.67,46.93,confirmed
220,2630,13,Booking.com,7,834.12,90.3,confirmed
221,2639,131,Hotels.com,5,750.68,69.37,confirmed
222,2641,84,HRS,4,547.11,54.13,confirmed
223,2646,144,Hotels.com,7,801.4,115.46,cancelled
224,2681,187,Booking.com,3,403.79,59.18,confirmed
225,2729,45,Expedia,3,397.97,53.6,confirmed
226,2732,181,Expedia,7,843.5,85.76,confirmed
227,2775,149,HRS,3,269.62,27.71,cancelled
228,2776,147,Agoda,3,384.31,43.24,confirmed
229,2777,116,Hotels.com,6,823.64,104.11,confirmed
230,2792,8,Hotels.com,3,412.82,51.4,confirmed
231,2805,98,HRS,5,694.85,81.34,confirmed
232,2813,52,Hotels.com,4,709.18,59.59,confirmed
233,2825,196,Agoda,5,733.33,68.8,confirmed
234,2840,216,HRS,6,853.34,126.17,confirmed
235,2841,59,Hotels.com,3,307.96,44.32,cancelled
236,2857,176,Hotels.com,1,128.85,17.98,confirmed
237,2885,47,HRS,2,240.98,24.4,confirmed
238,2907,107,Expedia,6,614.14,72.74,confirmed
239,2956,210,Booking.com,1,169.33,20.51,confirmed
240,2968,73,HRS,5,549.71,64.11,confirmed
241,2987,57,HRS,4,553.17,47.87,confirmed
242,2989,12,Agoda,3,398.51,53.09,confirmed
243,3031,210,Expedia,2,306.72,38.34,confirmed
244,3064,52,Expedia,6,1060.74,144.65,confirmed
245,3087,3,Hotels.com,6,759.3,71.15,confirmed
246,3088,101,Hotels.com,7,932.77,97.02,confirmed
247,3102,25,Expedia,2,294.09,40.08,confirmed
248,3127,75,HRS,4,498.92,41.01,confirmed
249,3129,7,Agoda,2,305.13,31.15,confirmed
250,3157,29,Booking.com,6,827.26,105.78,confirmed
251,3212,168,Hotels.com,5,703.75,60.9,confirmed
252,3239,163,Hotels.com,7,631.14,86.58,confirmed
253,3250,43,Agoda,5,568.82,76.83,confirmed
254,3253,90,Hotels.com,7,851.48,72.94,confirmed
255,3259,21,Booking.com,1,125.15,14.56,confirmed
256,3260,14,HRS,3,372.73,49.79,confirmed
257,3277,113,Agoda,6,755.69,96.58,confirmed
258,3290,73,Hotels.com,3,329.44,41.41,confirmed
259,3297,157,HRS,2,240.06,20.14,confirmed
260,3300,168,Agoda,7,1081.43,155.66,confirmed
261,3304,192,Expedia,2,249.44,28.89,confirmed
262,3312,186,Booking.com,2,285.9,37.91,confirmed
263,3319,50,Agoda,3,370.53,47.05,confirmed
264,3342,152,Booking.com,4,511.11,44.16,confirmed
265,3357,103,Expedia,2,212.21,30.08,confirmed
266,3361,148,Booking.com,3,349.97,52.35,confirmed
267,3365,126,HRS,5,752.83,64.63,confirmed
268,3382,74,Hotels.com,7,805.35,74.65,confirmed
269,3383,59,Agoda,2,235.61,24.85,confirmed
270,3386,18,HRS,4,432.42,49.9,confirmed
271,3394,117,Booking.com,1,97.84,12.07,confirmed
272,3397,93,Agoda,1,126.3,16.09,cancelled
273,3410,17,Agoda,6,761.76,90.83,confirmed
274,3413,89,HRS,4,418.43,36.78,confirmed
275,3421,121,Booking.com,6,618.66,74.64,confirmed
276,3424,132,Agoda,5,733.75,78.69,confirmed
277,3429,124,Hotels.com,6,826.07,68.6,confirmed
278,3431,137,Agoda,6,821.64,76.56,confirmed
279,3437,114,Agoda,1,175.64,18.96,confirmed
280,3444,49,Expedia,3,420.54,40.99,confirmed
281,3449,49,Agoda,3,417.94,56.59,cancelled
282,3484,100,HRS,7,1048.71,121.67,confirmed
283,3500,204,Hotels.com,7,723.77,71.07,confirmed
284,3504,103,Expedia,7,768.58,76.62,confirmed
285,3516,139,Expedia,5,692.0,80.73,confirmed
286,3523,60,Agoda,5,719.86,75.93,confirmed
287,3534,124,Booking.com,6,858.45,107.58,confirmed
288,3552,2,Booking.com,3,302.61,39.19,cancelled
289,3561,6,Agoda,3,517.76,53.72,confirmed
290,3581,160,HRS,2,148.53,18.46,cancelled
291,3602,210,Expedia,1,164.32,22.01,confirmed
292,3608,11,HRS,4,489.73,42.17,confirmed
293,3610,39,Hotels.com,1,120.78,14.52,confirmed
294,3626,183,Expedia,4,683.2,92.9,confirmed
295,3644,48,Booking.com,7,1119.63,147.21,confirmed
296,3648,128,HRS,1,111.47,16.29,confirmed
297,3650,176,Hotels.com,5,621.88,59.09,confirmed
298,3653,42,Expedia,7,1082.17,121.21,confirmed
299,3654,145,Hotels.com,6,559.28,65.11,confirmed
300,3657,145,HRS,5,472.41,42.87,confirmed
301,3659,20,Expedia,6,843.63,79.35,confirmed
302,3665,124,Expedia,3,486.07,63.12,confirmed
303,3698,217,Expedia,4,464.49,63.93,confirmed
304,3700,119,Hotels.com,6,794.37,69.2,confirmed
305,3707,139,Agoda,6,719.38,69.42,confirmed
306,3710,162,Booking.com,7,1117.43,145.71,confirmed
307,3717,170,Hotels.com,7,1180.75,96.86,confirmed
308,3718,74,Booking.com,7,758.46,77.73,confirmed
309,3737,181,HRS,7,874.8,121.13,cancelled
310,3739,8,Hotels.com,2,306.96,41.06,confirmed
311,3742,64,Hotels.com,1,180.43,19.36,confirmed
312,3746,79,HRS,7,1043.0,97.44,confirmed
313,3750,35,HRS,5,667.23,79.99,cancelled
314,3758,158,Expedia,6,701.58,71.25,confirmed
315,3759,71,Hotels.com,7,1252.61,147.71,confirmed
316,3767,83,Booking.com,3,295.61,26.76,confirmed
317,3775,8,HRS,6,864.74,80.93,confirmed
318,3794,34,Booking.com,7,1053.2,134.37,confirmed
319,3804,183,Hotels.com,6,1046.52,126.79,confirmed
320,3810,56,HRS,7,837.33,91.28,confirmed
321,3814,93,Booking.com,1,125.26,17.98,confirmed
322,3847,128,Hotels.com,6,790.18,87.75,confirmed
323,3860,68,Agoda,7,1088.82,101.16,confirmed
324,3878,49,HRS,4,515.33,71.47,confirmed
325,3926,38,Agoda,2,267.8,39.22,confirmed
326,3931,138,Hotels.com,2,251.25,35.22,confirmed
327,3939,3,HRS,3,380.29,50.75,confirmed
328,3950,120,Booking.com,3,310.31,45.12,confirmed
329,3968,1,Hotels.com,5,768.29,76.4,confirmed
330,3994,170,Expedia,2,357.3,32.41,confirmed
331,3997,132,HRS,2,284.15,37.55,confirmed
332,4011,74,Agoda,3,358.22,49.88,confirmed
333,4015,38,HRS,5,702.85,104.84,confirmed
334,4041,220,Booking.com,3,373.17,41.25,confirmed
335,4060,103,Expedia,7,776.43,80.86,confirmed
336,4068,111,HRS,6,560.34,71.29,confirmed
337,4087,198,HRS,4,528.33,48.7,confirmed
338,4096,202,Agoda,1,145.35,11.65,confirmed
339,4101,110,Hotels.com,3,429.41,50.07,confirmed
340,4106,12,Booking.com,3,395.31,49.21,confirmed
341,4111,96,Expedia,7,867.16,99.97,confirmed
342,4135,113,Booking.com,7,896.82,83.74,confirmed
343,4136,81,Expedia,5,883.26,109.93,confirmed
344,4141,91,Agoda,1,121.85,11.81,confirmed
345,4148,11,Booking.com,6,778.55,84.63,confirmed
346,4155,134,Booking.com,5,682.19,69.15,confirmed
347,4159,186,HRS,2,288.95,25.88,confirmed
348,4161,116,Agoda,6,839.81,116.82,confirmed
349,4176,153,Agoda,4,393.48,48.23,confirmed
350,4188,60,HRS,7,993.3,124.53,confirmed
351,4199,70,Agoda,2,255.36,37.64,confirmed
352,4214,151,Hotels.com,7,967.74,80.63,confirmed
353,4220,49,Hotels.com,4,485.63,46.53,confirmed
354,4269,152,Booking.com,3,383.73,36.27,confirmed
355,4279,36,Agoda,1,132.81,18.46,confirmed
356,4291,2,Agoda,7,671.9,83.33,confirmed
357,4295,90,Agoda,3,379.74,40.82,confirmed
358,4297,208,HRS,5,638.06,59.32,confirmed
359,4309,96,Booking.com,4,489.62,67.99,confirmed
360,4312,195,Agoda,5,800.67,111.57,confirmed
361,4317,47,Booking.com,1,116.93,13.36,confirmed
362,4318,140,Booking.com,5,531.94,76.75,confirmed
363,4327,61,Booking.com,2,274.73,33.02,confirmed
364,4329,28,Expedia,7,808.64,95.17,confirmed
365,4344,42,HRS,4,630.37,60.43,confirmed
366,4348,86,Expedia,5,566.44,48.43,confirmed
367,4349,104,Hotels.com,1,131.84,14.87,cancelled
368,4351,172,Hotels.com,2,230.41,27.18,cancelled
369,4360,87,Hotels.com,5,761.08,90.56,confirmed
370,4370,38,Expedia,1,147.83,19.79,confirmed
371,4385,177,Hotels.com,1,90.43,10.6,confirmed
372,4395,190,Booking.com,6,889.95,124.88,confirmed
373,4414,117,Booking.com,5,482.56,44.07,confirmed
374,4424,163,Expedia,6,556.78,72.46,cancelled
375,4435,103,Expedia,1,108.21,12.41,confirmed
376,4436,213,Agoda,6,684.75,97.91,confirmed
377,4437,105,Booking.com,2,282.49,31.37,confirmed
378,4441,82,Expedia,6,705.01,92.96,confirmed
379,4442,32,Hotels.com,3,463.46,51.24,confirmed
380,4455,89,Hotels.com,5,516.63,71.58,cancelled
381,4465,198,Hotels.com,1,138.42,18.23,confirmed
382,4469,44,Expedia,2,277.88,36.03,confirmed
383,4513,27,HRS,2,357.3,38.98,confirmed
384,4528,100,Hotels.com,6,1016.67,82.68,confirmed
385,4532,2,Agoda,3,305.74,42.29,confirmed
386,4564,219,Booking.com,4,571.82,70.47,confirmed
387,4569,103,Hotels.com,4,485.84,59.36,confirmed
388,4577,145,Hotels.com,2,199.74,19.14,confirmed
389,4584,24,Agoda,4,487.28,49.25,confirmed
390,4593,161,Booking.com,1,87.95,12.33,confirmed
391,4600,79,HRS,7,1072.36,159.17,cancelled
392,4657,142,HRS,7,1275.61,129.91,confirmed
393,4682,51,Expedia,4,472.1,69.64,confirmed
394,4683,15,Hotels.com,4,332.46,36.85,cancelled
395,4688,84,HRS,5,680.13,57.95,confirmed
396,4695,149,Expedia,1,85.21,10.78,confirmed
397,4705,186,HRS,6,863.08,89.84,confirmed
398,4712,24,Booking.com,2,257.66,21.05,cancelled
399,4718,129,Hotels.com,5,510.06,51.12,confirmed
400,4727,139,Expedia,1,129.46,11.87,confirmed
401,4740,8,Booking.com,6,965.43,125.01,confirmed
402,4745,136,Booking.com,2,393.85,54.97,confirmed
403,4753,89,Expedia,5,572.8,83.04,confirmed
404,4755,62,Hotels.com,7,955.38,114.94,confirmed
405,4773,44,Agoda,7,1019.91,105.95,confirmed
406,4790,215,Booking.com,4,568.32,66.19,confirmed
407,4807,211,Agoda,6,988.2,99.86,confirmed
408,4833,167,Agoda,1,113.13,12.5,cancelled
409,4839,46,Hotels.com,1,124.28,18.5,confirmed
410,4847,218,Booking.com,7,1092.08,154.79,confirmed
411,4863,49,Booking.com,2,278.4,28.73,confirmed
412,4916,173,Expedia,3,385.82,31.75,confirmed
413,4922,64,Expedia,6,1099.38,104.22,confirmed
414,4937,112,Expedia,4,626.29,82.1,confirmed
415,4950,1,Hotels.com,6,941.26,78.84,confirmed
416,4966,14,Booking.com,2,236.13,25.69,confirmed
417,4967,40,Expedia,4,360.84,39.14,cancelled
418,4987,23,Agoda,5,571.02,69.58,confirmed
419,5006,145,Agoda,2,205.78,23.15,confirmed
420,5009,122,Expedia,6,741.26,65.62,confirmed
421,5046,3,Booking.com,2,242.43,20.09,confirmed
422,5055,133,Expedia,4,481.65,49.68,confirmed
423,5063,47,Hotels.com,7,775.88,93.98,confirmed
424,5078,101,Booking.com,7,974.32,140.3,confirmed
425,5084,209,Booking.com,5,744.16,94.9,confirmed
426,5091,46,Booking.com,7,870.97,123.03,confirmed
427,5125,16,Hotels.com,6,773.21,74.58,confirmed
428,5129,53,Expedia,6,703.82,66.27,confirmed
429,5139,158,HRS,5,522.13,64.92,confirmed
430,5157,68,Booking.com,7,1145.16,96.25,confirmed
431,5158,29,Expedia,1,133.43,19.55,confirmed
432,5164,149,Booking.com,6,529.41,73.11,confirmed
433,5165,57,Expedia,2,293.35,35.6,confirmed
434,5167,158,Expedia,3,314.37,36.61,confirmed
435,5182,152,Booking.com,7,936.47,99.66,confirmed
436,5185,187,Booking.com,7,966.37,97.25,confirmed
437,5186,38,Expedia,5,676.07,68.22,confirmed
438,5191,18,HRS,2,202.15,22.57,confirmed
439,5225,212,Hotels.com,1,167.51,17.77,confirmed
440,5234,182,Hotels.com,2,142.47,16.56,confirmed
441,5239,213,Hotels.com,5,551.9,56.87,confirmed
442,5259,23,Booking.com,4,458.8,67.41,confirmed
443,5277,91,Expedia,2,229.35,23.19,confirmed
444,5281,159,Expedia,3,391.02,38.57,confirmed
445,5292,118,Booking.com,7,902.9,116.63,confirmed
446,5301,147,HRS,5,642.52,55.67,confirmed
447,5308,90,Agoda,5,617.24,82.99,confirmed
448,5326,117,Agoda,6,613.21,90.34,confirmed
449,5337,23,Expedia,3,346.52,37.53,confirmed
450,5353,153,Agoda,5,575.8,59.27,confirmed
451,5356,53,Agoda,3,335.87,43.84,confirmed
452,5397,49,Agoda,1,131.53,12.65,confirmed
453,5410,154,Agoda,7,725.3,71.32,confirmed
454,5413,128,Booking.com,2,238.39,35.41,confirmed
455,5425,122,HRS,5,570.49,65.15,confirmed
456,5427,118,Agoda,7,926.76,92.12,confirmed
457,5445,163,Hotels.com,5,479.0,45.91,confirmed
458,5473,118,Hotels.com,2,278.36,36.57,confirmed
459,5524,24,Booking.com,3,380.64,50.0,confirmed
460,5534,201,Booking.com,2,304.48,27.54,confirmed
461,5544,39,HRS,4,444.43,51.49,confirmed
462,5554,34,Hotels.com,2,282.68,41.98,confirmed
463,5577,92,Expedia,7,1068.7,137.38,confirmed
464,5590,163,Agoda,2,182.18,24.88,confirmed
465,5595,128,Hotels.com,7,819.86,98.11,confirmed
466,5602,199,Expedia,2,257.65,22.65,confirmed
467,5608,173,HRS,2,276.39,24.01,confirmed
468,5622,14,Booking.com,3,376.69,47.63,confirmed
469,5625,161,Hotels.com,4,376.89,50.04,confirmed
470,5632,200,Booking.com,7,729.99,101.33,confirmed
471,5647,94,Expedia,4,341.03,45.44,confirmed
472,5652,25,Hotels.com,3,358.98,53.79,confirmed
473,5656,184,Hotels.com,5,531.44,54.39,confirmed
474,5671,55,Booking.com,4,623.29,80.42,confirmed
475,5679,113,Expedia,1,127.7,10.57,cancelled
476,5698,96,Hotels.com,2,264.35,24.46,confirmed
477,5700,60,HRS,2,288.49,25.47,confirmed
478,5702,40,Expedia,4,374.71,37.73,confirmed
479,5708,113,Booking.com,3,405.05,45.35,confirmed
480,5711,217,HRS,2,237.14,24.16,confirmed
481,5723,4,Expedia,1,134.69,17.06,confirmed
482,5728,4,HRS,4,539.6,44.87,confirmed
483,5737,29,Hotels.com,5,627.07,89.35,confirmed
484,5786,22,HRS,6,1129.16,159.38,confirmed
485,5789,91,Hotels.com,3,332.11,48.92,confirmed
486,5805,209,Expedia,5,654.24,94.86,confirmed
487,5839,34,HRS,7,1069.48,158.62,confirmed
488,5842,103,Booking.com,7,835.38,94.81,cancelled
489,5850,145,Expedia,4,395.88,56.87,confirmed
490,5855,95,HRS,2,151.47,15.0,confirmed
491,5872,188,Booking.com,4,499.66,57.21,confirmed
492,5877,6,Agoda,6,1065.6,95.86,cancelled
493,5896,19,Hotels.com,5,576.75,75.19,confirmed
494,5915,29,Hotels.com,2,286.07,41.12,confirmed
495,5916,115,HRS,7,840.25,107.17,confirmed
496,5926,103,Hotels.com,6,690.73,77.52,confirmed
497,5929,217,Agoda,4,474.63,69.69,cancelled
498,5934,22,HRS,6,974.01,90.35,confirmed
499,5943,209,HRS,4,544.58,81.37,confirmed
500,5946,147,HRS,6,793.12,69.15,confirmed
501,5947,18,Booking.com,6,610.56,63.82,confirmed
502,5984,218,Expedia,1,155.87,14.19,confirmed
503,5986,160,Booking.com,4,316.07,37.02,confirmed
504,6026,173,Hotels.com,2,262.0,28.91,confirmed
505,6067,171,Hotels.com,4,319.16,43.93,confirmed
506,6081,6,Expedia,7,1118.23,139.08,confirmed
507,6128,202,HRS,3,404.13,55.13,confirmed
508,6140,74,Expedia,5,540.27,50.64,confirmed
