session_id,session_date,device_type,traffic_source,city_searched,nights_searched,hotels_viewed,session_duration_sec
59,2026-01-22,mobile,direct,Cologne,1,15,246.8
60,2026-01-31,mobile,direct,Salzburg,2,21,34.9
61,2026-06-13,mobile,email,Munich,7,6,365.0
62,2026-07-01,mobile,direct,Rome,1,23,139.7
63,2026-03-10,desktop,direct,Hamburg,2,8,7.6
64,2026-04-06,mobile,direct,Zurich,4,24,56.9
65,2026-08-20,mobile,organic_search,Vienna,1,14,98.4
66,2026-03-25,desktop,affiliate,Hamburg,1,8,100.8
67,2026-06-29,desktop,paid_search,Cologne,4,15,186.8
68,2026-07-23,tablet,organic_search,Salzburg,7,19,43.2
69,2026-08-07,mobile,paid_search,Zurich,2,21,138.1
70,2026-08-23,mobile,paid_search,Hamburg,2,9,70.5
71,2026-02-17,desktop,affiliate,Cologne,1,12,85.9
72,2026-08-19,mobile,direct,Vienna,2,14,204.0
73,2026-06-04,mobile,organic_search,Hamburg,5,20,32.7
74,2026-02-26,desktop,organic_search,Munich,1,18,32.0
75,2026-08-01,mobile,paid_search,Zurich,1,4,25.7
76,2026-04-05,desktop,email,Hamburg,1,4,278.4
77,2026-08-21,tablet,paid_search,Amsterdam,7,14,103.6
78,2026-04-23,mobile,affiliate,Munich,7,20,93.8
79,2026-06-07,desktop,organic_search,Paris,6,12,108.3
80,2026-04-27,desktop,paid_search,Salzburg,2,8,236.6
81,2026-08-18,desktop,affiliate,Salzburg,7,23,56.0
82,2026-04-25,desktop,paid_search,Frankfurt,6,8,67.0
83,2026-02-05,mobile,paid_search,Paris,5,18,73.2
84,2026-08-01,mobile,paid_search,Berlin,5,6,213.1
85,2026-01-10,desktop,email,Hamburg,4,18,27.9
86,2026-07-01,mobile,affiliate,Amsterdam,3,13,58.6
87,2026-04-23,mobile,paid_search,Salzburg,5,22,101.1
88,2026-06-17,mobile,affiliate,Salzburg,3,15,124.8
89,2026-03-18,mobile,organic_search,Vienna,5,8,83.8
90,2026-02-24,desktop,direct,Salzburg,5,14,112.9
91,2026-08-13,tablet,paid_search,Amsterdam,6,19,157.6
92,2026-02-15,mobile,organic_search,Salzburg,7,11,64.1
93,2026-01-04,mobile,direct,Hamburg,2,22,52.1
94,2026-04-08,desktop,paid_search,Barcelona,1,21,120.2
95,2026-03-18,mobile,paid_search,Munich,1,24,85.6
96,2026-05-24,mobile,direct,Paris,3,14,182.0
97,2026-03-26,mobile,paid_search,Vienna,5,12,310.7
98,2026-03-28,mobile,paid_search,Vienna,6,10,121.3
99,2026-06-22,desktop,direct,Amsterdam,2,17,57.7
100,2026-07-05,mobile,direct,Rome,7,14,223.5
101,2026-01-01,mobile,paid_search,Amsterdam,7,7,66.8
102,2026-02-10,desktop,direct,Munich,5,23,440.5
103,2026-07-25,mobile,paid_search,Amsterdam,2,15,25.0
104,2026-08-05,mobile,direct,Barcelona,6,12,120.2
105,2026-08-15,mobile,paid_search,Zurich,5,12,115.3
106,2026-03-28,desktop,email,Frankfurt,3,9,51.8
107,2026-04-28,mobile,direct,Munich,6,6,190.3
108,2026-02-06,desktop,direct,Munich,1,4,262.7
109,2026-01-27,desktop,affiliate,Barcelona,2,23,126.4
110,2026-05-26,mobile,paid_search,Rome,1,19,69.7
111,2026-01-13,tablet,affiliate,Salzburg,5,22,65.3
112,2026-02-09,mobile,paid_search,Rome,6,18,32.6
113,2026-03-04,mobile,affiliate,Berlin,7,24,266.9
114,2026-01-12,mobile,paid_search,Paris,4,22,55.9
115,2026-02-02,desktop,paid_search,Cologne,7,6,31.3
116,2026-01-04,mobile,email,Frankfurt,3,14,79.4
117,2026-05-02,tablet,affiliate,Cologne,2,3,23.8
118,2026-05-23,desktop,organic_search,Frankfurt,7,3,217.4
119,2026-04-10,mobile,organic_search,Munich,1,19,113.2
120,2026-04-03,mobile,direct,Vienna,6,13,90.6
121,2026-02-16,mobile,paid_search,Munich,3,8,21.0
122,2026-07-29,mobile,organic_search,Hamburg,3,13,10.9
123,2026-07-21,mobile,organic_search,Rome,1,16,136.0
124,2026-04-15,mobile,paid_search,Munich,2,21,120.8
125,2026-05-26,mobile,direct,Vienna,1,14,138.4
126,2026-08-20,desktop,organic_search,Salzburg,4,13,47.3
127,2026-06-01,tablet,paid_search,Frankfurt,3,15,27.5
128,2026-05-06,mobile,organic_search,Vienna,3,6,176.3
129,2026-06-15,desktop,direct,Barcelona,1,13,67.5
130,2026-07-14,mobile,affiliate,Frankfurt,6,9,28.1
131,2026-07-29,mobile,paid_search,Frankfurt,1,3,135.5
132,2026-02-13,desktop,affiliate,Hamburg,2,18,76.1
133,2026-06-13,mobile,email,Cologne,7,8,138.1
134,2026-08-05,desktop,paid_search,Rome,6,17,223.2
135,2026-02-02,mobile,organic_search,Hamburg,6,23,42.4
136,2026-08-24,mobile,paid_search,Hamburg,1,3,224.7
137,2026-04-03,desktop,affiliate,Munich,3,12,101.1
138,2026-08-06,tablet,paid_search,Paris,2,9,50.3
139,2026-05-07,mobile,paid_search,Hamburg,1,9,108.6
140,2026-04-24,mobile,organic_search,Hamburg,3,24,129.8
141,2026-02-14,mobile,organic_search,Barcelona,4,3,132.6
142,2026-07-12,mobile,affiliate,Rome,2,15,294.5
143,2026-08-16,desktop,affiliate,Salzburg,5,11,33.4
144,2026-08-18,mobile,organic_search,Cologne,4,5,146.2
145,2026-03-03,desktop,direct,Zurich,2,7,57.2
146,2026-06-07,tablet,direct,Barcelona,6,6,176.9
147,2026-07-06,desktop,paid_search,Frankfurt,4,14,288.5
148,2026-08-20,tablet,direct,Barcelona,7,7,80.4
149,2026-08-19,mobile,email,Vienna,4,18,121.8
150,2026-06-01,mobile,direct,Amsterdam,6,6,328.8
151,2026-03-08,desktop,paid_search,Zurich,5,4,63.8
152,2026-02-14,mobile,direct,Vienna,1,18,256.2
153,2026-04-21,tablet,email,Frankfurt,3,18,175.5
154,2026-06-05,mobile,direct,Barcelona,3,8,215.9
155,2026-03-02,mobile,affiliate,Cologne,4,3,58.3
156,2026-06-02,desktop,email,Zurich,6,12,69.2
157,2026-07-19,mobile,organic_search,Cologne,1,18,145.9
158,2026-05-15,mobile,direct,Zurich,6,4,131.0
159,2026-07-12,mobile,organic_search,Hamburg,2,6,149.8
160,2026-03-19,desktop,email,Salzburg,4,15,40.5
161,2026-08-05,mobile,organic_search,Salzburg,4,10,73.0
162,2026-08-27,mobile,organic_search,Munich,7,22,59.2
163,2026-01-16,desktop,paid_search,Berlin,4,5,67.7
164,2026-03-08,desktop,affiliate,Hamburg,4,19,188.4
165,2026-06-29,mobile,affiliate,Munich,6,15,159.5
166,2026-07-02,mobile,paid_search,Cologne,3,9,81.2
167,2026-05-21,mobile,paid_search,Zurich,2,20,49.9
168,2026-05-16,mobile,paid_search,Frankfurt,2,8,207.5
169,2026-04-13,desktop,direct,Barcelona,5,15,15.2
170,2026-05-18,mobile,organic_search,Vienna,4,12,433.4
171,2026-08-04,tablet,organic_search,Cologne,4,22,30.3
172,2026-01-12,tablet,direct,Berlin,3,5,127.7
173,2026-07-29,mobile,organic_search,Berlin,1,3,383.3
174,2026-01-20,mobile,direct,Paris,2,17,170.7
175,2026-06-19,desktop,affiliate,Amsterdam,1,10,136.3
176,2026-03-25,desktop,direct,Rome,2,24,26.2
177,2026-02-11,mobile,paid_search,Berlin,4,11,314.1
178,2026-01-02,mobile,organic_search,Hamburg,7,13,53.3
179,2026-03-04,mobile,paid_search,Cologne,5,10,228.0
180,2026-01-01,mobile,organic_search,Munich,5,14,36.7
181,2026-02-07,mobile,organic_search,Vienna,7,12,136.3
182,2026-04-06,mobile,affiliate,Paris,5,4,15.0
183,2026-03-04,mobile,affiliate,Barcelona,2,15,78.7
184,2026-04-18,mobile,direct,Cologne,5,13,80.3
185,2026-07-07,mobile,direct,Barcelona,6,7,104.5
186,2026-01-05,mobile,organic_search,Hamburg,3,12,60.4
187,2026-03-22,desktop,paid_search,Vienna,2,7,127.9
188,2026-04-02,desktop,organic_search,Barcelona,4,4,10.6
189,2026-03-10,mobile,affiliate,Rome,5,6,68.7
190,2026-05-10,mobile,email,Amsterdam,6,20,48.5
191,2026-03-02,mobile,organic_search,Frankfurt,2,9,91.8
192,2026-02-23,desktop,paid_search,Cologne,2,13,245.3
193,2026-01-13,mobile,organic_search,Vienna,5,17,24.2
194,2026-06-21,mobile,organic_search,Barcelona,4,16,117.5
195,2026-03-24,mobile,organic_search,Frankfurt,2,14,41.1
196,2026-07-16,mobile,organic_search,Vienna,4,9,142.8
197,2026-01-23,desktop,affiliate,Zurich,3,9,131.5
198,2026-02-23,tablet,organic_search,Zurich,3,12,179.2
199,2026-05-16,mobile,paid_search,Frankfurt,5,24,157.0
200,2026-07-25,mobile,paid_search,Hamburg,3,11,67.3
201,2026-02-14,desktop,paid_search,Paris,4,16,16.1
202,2026-03-15,mobile,organic_search,Paris,2,10,182.8
203,2026-03-07,mobile,direct,Rome,1,8,313.7
204,2026-01-08,mobile,paid_search,Hamburg,5,17,42.0
205,2026-04-26,mobile,direct,Frankfurt,5,4,148.6
206,2026-06-12,mobile,paid_search,Frankfurt,3,9,30.9
207,2026-04-03,tablet,affiliate,Berlin,4,8,119.1
208,2026-06-16,mobile,organic_search,Salzburg,6,5,298.2
209,2026-03-19,mobile,email,Salzburg,6,13,148.5
210,2026-05-13,mobile,direct,Amsterdam,6,7,38.6
211,2026-08-20,mobile,email,Hamburg,6,7,44.6
212,2026-02-06,desktop,affiliate,Vienna,5,16,187.8
213,2026-01-15,mobile,paid_search,Cologne,2,10,83.1
214,2026-01-30,mobile,direct,Munich,4,18,129.3
215,2026-08-02,desktop,paid_search,Vienna,5,24,44.8
216,2026-05-25,desktop,email,Hamburg,4,12,92.6
217,2026-08-13,mobile,direct,Barcelona,3,23,261.6
218,2026-04-04,mobile,email,Vienna,4,9,174.9
219,2026-08-23,mobile,organic_search,Amsterdam,2,14,123.2
220,2026-04-03,mobile,organic_search,Hamburg,1,13,144.5
221,2026-07-28,mobile,organic_search,Salzburg,5,21,241.9
222,2026-05-13,desktop,direct,Cologne,7,9,159.6
223,2026-07-15,mobile,email,Amsterdam,4,9,165.3
224,2026-07-11,mobile,organic_search,Rome,4,13,19.1
225,2026-02-27,mobile,direct,Cologne,7,19,187.2
226,2026-07-07,mobile,paid_search,Vienna,5,23,71.7
227,2026-02-13,mobile,direct,Vienna,2,22,120.2
228,2026-05-03,tablet,organic_search,Hamburg,3,3,73.5
229,2026-05-26,mobile,organic_search,Berlin,2,21,90.8
230,2026-01-15,mobile,direct,Barcelona,4,8,233.3
231,2026-05-10,desktop,organic_search,Berlin,4,16,219.0
232,2026-02-21,mobile,direct,Berlin,3,19,55.7
233,2026-06-24,desktop,organic_search,Munich,6,21,49.2
234,2026-04-25,mobile,organic_search,Vienna,7,8,72.9
235,2026-01-29,desktop,organic_search,Barcelona,4,3,122.5
236,2026-08-30,mobile,paid_search,Rome,3,22,46.4
237,2026-03-11,mobile,affiliate,Paris,3,11,57.6
238,2026-05-14,mobile,paid_search,Paris,1,19,86.2
239,2026-06-12,mobile,paid_search,Zurich,5,19,65.5
240,2026-07-16,mobile,direct,Vienna,2,17,140.0
241,2026-05-29,mobile,organic_search,Berlin,4,11,124.6
242,2026-06-09,mobile,direct,Vienna,6,5,92.1
243,2026-03-26,mobile,direct,Zurich,5,7,79.9
244,2026-03-19,mobile,email,Amsterdam,4,16,26.7
245,2026-02-05,mobile,organic_search,Cologne,6,20,46.4
246,2026-08-27,desktop,direct,Cologne,1,13,29.8
247,2026-07-27,desktop,organic_search,Rome,7,16,155.3
248,2026-02-25,desktop,paid_search,Rome,4,12,119.7
249,2026-07-21,mobile,paid_search,Amsterdam,2,14,13.2
250,2026-06-13,mobile,email,Frankfurt,1,23,256.9
251,2026-02-05,desktop,direct,Frankfurt,5,10,52.0
252,2026-03-01,mobile,direct,Salzburg,4,22,9.1
253,2026-07-01,desktop,organic_search,Vienna,5,5,142.9
254,2026-08-24,mobile,paid_search,Barcelona,1,3,26.2
255,2026-02-04,mobile,organic_search,Amsterdam,2,22,59.1
256,2026-08-17,desktop,organic_search,Hamburg,5,14,54.6
257,2026-04-20,mobile,paid_search,Paris,7,7,132.8
258,2026-08-09,desktop,paid_search,Vienna,5,3,230.0
259,2026-04-23,mobile,paid_search,Cologne,6,16,82.4
260,2026-03-12,mobile,direct,Vienna,7,12,57.5
261,2026-04-08,desktop,direct,Barcelona,2,9,36.8
262,2026-05-02,desktop,direct,Frankfurt,3,24,145.3
263,2026-03-24,mobile,email,Amsterdam,7,8,49.9
264,2026-03-08,mobile,organic_search,Zurich,6,22,105.8
265,2026-04-24,mobile,affiliate,Hamburg,2,12,137.6
266,2026-03-14,mobile,direct,Salzburg,2,7,294.4
267,2026-06-22,mobile,direct,Hamburg,2,19,288.6
268,2026-03-10,desktop,affiliate,Barcelona,3,21,51.8
269,2026-03-22,mobile,email,Hamburg,1,8,225.1
270,2026-07-13,mobile,paid_search,Cologne,1,15,218.8
271,2026-05-21,desktop,paid_search,Hamburg,1,5,78.5
272,2026-07-19,mobile,paid_search,Cologne,7,17,194.8
273,2026-03-28,mobile,email,Cologne,1,13,118.2
274,2026-07-09,desktop,organic_search,Frankfurt,6,21,140.1
275,2026-08-24,desktop,paid_search,Munich,7,15,298.3
276,2026-01-02,mobile,organic_search,Amsterdam,3,8,62.4
277,2026-06-15,desktop,paid_search,Cologne,6,17,104.8
278,2026-08-12,mobile,direct,Frankfurt,5,11,335.4
279,2026-07-26,desktop,direct,Frankfurt,5,12,238.8
280,2026-04-06,mobile,organic_search,Paris,7,16,163.4
281,2026-04-15,desktop,paid_search,Salzburg,3,11,120.5
282,2026-03-16,desktop,organic_search,Rome,3,7,207.9
283,2026-03-04,mobile,direct,Vienna,6,6,112.1
284,2026-07-14,desktop,organic_search,Barcelona,4,24,267.8
285,2026-01-20,mobile,organic_search,Cologne,4,9,39.7
286,2026-04-16,mobile,organic_search,Salzburg,6,21,106.7
287,2026-07-17,mobile,paid_search,Munich,7,8,36.9
288,2026-06-19,mobile,organic_search,Cologne,2,18,34.5
289,2026-06-18,mobile,direct,Salzburg,1,5,50.6
290,2026-04-26,mobile,email,Frankfurt,6,8,83.3
291,2026-07-18,mobile,organic_search,Rome,1,24,313.7
292,2026-03-31,mobile,paid_search,Salzburg,6,23,14.1
293,2026-06-14,mobile,email,Zurich,3,7,79.4
294,2026-01-08,desktop,email,Munich,1,13,95.4
295,2026-01-10,desktop,direct,Salzburg,6,15,88.5
296,2026-03-08,desktop,organic_search,Munich,7,21,83.8
297,2026-04-13,desktop,paid_search,Frankfurt,5,11,59.8
298,2026-03-16,desktop,affiliate,Munich,5,22,66.2
299,2026-03-22,desktop,organic_search,Salzburg,3,15,41.0
300,2026-01-22,mobile,organic_search,Zurich,4,9,33.0
301,2026-04-15,desktop,paid_search,Amsterdam,1,15,132.8
302,2026-01-24,mobile,organic_search,Rome,1,4,57.3
303,2026-06-11,tablet,paid_search,Cologne,4,14,47.4
304,2026-07-11,desktop,direct,Amsterdam,3,4,94.3
305,2026-05-18,mobile,paid_search,Paris,4,10,143.6
306,2026-03-20,mobile,organic_search,Salzburg,4,18,96.0
307,2026-06-03,desktop,paid_search,Berlin,1,10,82.9
308,2026-07-28,desktop,direct,Barcelona,7,24,150.0
309,2026-02-20,mobile,email,Frankfurt,6,6,187.0
310,2026-02-18,mobile,organic_search,Munich,1,22,209.7
311,2026-05-01,tablet,organic_search,Paris,6,12,159.5
312,2026-04-14,desktop,affiliate,Frankfurt,2,17,107.5
313,2026-02-26,mobile,organic_search,Barcelona,4,10,46.6
314,2026-03-19,mobile,paid_search,Cologne,4,13,149.5
315,2026-05-04,mobile,organic_search,Berlin,2,24,139.1
316,2026-08-14,tablet,paid_search,Salzburg,4,7,72.2
317,2026-03-13,tablet,direct,Frankfurt,4,5,84.8
318,2026-02-06,mobile,organic_search,Amsterdam,3,15,127.8
319,2026-02-22,mobile,paid_search,Amsterdam,5,15,90.7
320,2026-05-24,mobile,direct,Rome,2,22,82.2
321,2026-08-16,mobile,organic_search,Salzburg,7,24,50.6
322,2026-08-10,mobile,email,Amsterdam,7,15,65.6
323,2026-03-06,mobile,organic_search,Paris,2,23,149.9
324,2026-03-15,desktop,paid_search,Paris,4,5,15.1
325,2026-06-01,mobile,email,Barcelona,6,18,38.3
326,2026-02-26,mobile,organic_search,Zurich,4,14,49.3
327,2026-06-01,mobile,organic_search,Zurich,4,11,97.1
328,2026-08-02,mobile,direct,Rome,6,21,52.3
329,2026-05-20,mobile,paid_search,Zurich,1,18,115.1
330,2026-06-28,mobile,organic_search,Zurich,4,4,132.2
331,2026-06-23,desktop,paid_search,Paris,6,23,32.3
332,2026-02-11,mobile,direct,Barcelona,4,13,43.7
333,2026-05-28,desktop,direct,Salzburg,5,14,132.9
334,2026-03-02,desktop,paid_search,Salzburg,5,6,49.1
335,2026-07-25,mobile,direct,Berlin,1,10,176.7
336,2026-06-25,desktop,affiliate,Vienna,6,18,265.0
337,2026-01-07,desktop,affiliate,Amsterdam,5,3,394.0
338,2026-03-10,desktop,direct,Cologne,4,11,275.2
339,2026-01-18,mobile,paid_search,Salzburg,4,14,75.4
340,2026-04-05,mobile,direct,Vienna,6,23,221.9
341,2026-05-15,desktop,affiliate,Rome,3,5,86.6
342,2026-08-18,mobile,organic_search,Cologne,7,22,169.9
343,2026-04-07,desktop,paid_search,Vienna,1,10,106.6
344,2026-04-22,desktop,organic_search,Hamburg,2,8,101.2
345,2026-02-21,desktop,affiliate,Munich,7,16,141.2
346,2026-05-23,desktop,email,Salzburg,6,12,229.5
347,2026-03-27,desktop,organic_search,Zurich,7,9,89.4
348,2026-06-24,tablet,email,Salzburg,2,7,70.1
349,2026-06-07,mobile,direct,Rome,7,7,189.0
350,2026-01-28,mobile,email,Amsterdam,3,8,293.5
351,2026-07-26,mobile,email,Munich,5,15,59.1
352,2026-03-16,mobile,organic_search,Salzburg,1,13,48.4
353,2026-02-13,mobile,organic_search,Hamburg,1,4,110.1
354,2026-06-05,desktop,paid_search,Berlin,3,8,286.4
355,2026-03-12,desktop,direct,Hamburg,5,23,173.5
356,2026-05-02,mobile,direct,Barcelona,2,20,71.2
357,2026-02-03,desktop,paid_search,Munich,6,24,133.6
358,2026-07-15,desktop,paid_search,Paris,2,18,28.5
359,2026-08-30,mobile,paid_search,Salzburg,7,24,278.5
360,2026-03-26,desktop,paid_search,Frankfurt,6,18,127.1
361,2026-01-05,desktop,email,Berlin,4,3,41.7
362,2026-06-24,desktop,paid_search,Cologne,3,15,34.1
363,2026-02-08,mobile,direct,Paris,3,3,292.4
364,2026-04-28,mobile,organic_search,Vienna,1,6,209.9
365,2026-04-04,mobile,organic_search,Hamburg,4,5,89.5
366,2026-01-30,desktop,paid_search,Paris,2,4,60.6
367,2026-02-18,desktop,organic_search,Berlin,5,23,109.2
368,2026-07-29,desktop,direct,Vienna,1,6,117.7
369,2026-06-14,desktop,direct,Frankfurt,6,22,106.3
370,2026-03-15,mobile,organic_search,Frankfurt,1,9,23.5
371,2026-01-06,mobile,organic_search,Vienna,7,3,270.4
372,2026-02-09,desktop,direct,Vienna,7,10,69.9
373,2026-05-05,desktop,affiliate,Barcelona,2,4,37.9
374,2026-06-27,mobile,paid_search,Munich,6,9,55.0
375,2026-02-17,mobile,direct,Zurich,2,9,152.2
376,2026-06-18,desktop,organic_search,Zurich,4,4,71.1
377,2026-06-02,mobile,paid_search,Paris,6,9,65.2
378,2026-01-17,mobile,paid_search,Rome,2,5,74.1
379,2026-01-29,mobile,paid_search,Frankfurt,4,3,105.3
380,2026-02-09,tablet,paid_search,Salzburg,3,16,85.1
381,2026-02-17,mobile,paid_search,Munich,2,4,172.0
382,2026-01-05,desktop,email,Barcelona,3,18,304.5
383,2026-07-20,mobile,organic_search,Rome,1,17,84.7
384,2026-07-27,mobile,paid_search,Rome,4,21,108.0
385,2026-08-06,mobile,paid_search,Salzburg,2,16,252.6
386,2026-08-02,mobile,email,Rome,2,12,65.5
387,2026-03-29,desktop,paid_search,Salzburg,3,10,196.9
388,2026-04-05,desktop,organic_search,Munich,4,8,148.0
389,2026-05-23,desktop,organic_search,Vienna,1,8,74.3
390,2026-08-14,desktop,organic_search,Berlin,1,7,22.5
391,2026-06-13,mobile,direct,Hamburg,7,13,159.4
392,2026-05-26,mobile,paid_search,Vienna,7,17,97.0
393,2026-07-04,mobile,organic_search,Frankfurt,4,17,31.3
394,2026-07-28,mobile,organic_search,Berlin,1,18,45.4
395,2026-05-10,mobile,affiliate,Cologne,6,9,85.4
396,2026-07-05,mobile,direct,Vienna,6,23,141.4
397,2026-05-21,mobile,email,Frankfurt,4,5,16.8
398,2026-07-01,mobile,organic_search,Vienna,1,18,59.2
399,2026-07-09,mobile,paid_search,Cologne,7,23,65.0
400,2026-06-23,mobile,organic_search,Frankfurt,7,21,240.5
401,2026-05-13,mobile,organic_search,Salzburg,3,5,165.3
402,2026-08-03,mobile,paid_search,Hamburg,3,17,36.4
403,2026-05-11,mobile,organic_search,Barcelona,3,21,450.1
404,2026-03-26,desktop,email,Cologne,4,10,92.3
405,2026-03-10,desktop,paid_search,Paris,6,15,52.1
406,2026-03-21,mobile,organic_search,Frankfurt,4,13,158.9
407,2026-07-22,mobile,paid_search,Munich,4,13,142.1
408,2026-08-20,mobile,email,Salzburg,5,17,183.0
409,2026-04-17,mobile,affiliate,Rome,3,8,196.6
410,2026-03-15,mobile,organic_search,Salzburg,5,9,167.4
411,2026-05-14,mobile,affiliate,Frankfurt,1,18,134.0
412,2026-04-02,mobile,paid_search,Rome,3,5,46.9
413,2026-06-03,mobile,direct,Salzburg,1,13,139.3
414,2026-01-13,desktop,direct,Vienna,3,19,151.1
415,2026-05-11,mobile,affiliate,Munich,2,5,56.2
416,2026-02-21,mobile,paid_search,Zurich,1,8,59.5
417,2026-04-18,desktop,direct,Munich,1,21,45.8
418,2026-05-30,mobile,direct,Amsterdam,7,14,234.2
419,2026-04-28,mobile,paid_search,Barcelona,4,18,339.7
420,2026-08-20,mobile,email,Salzburg,5,21,191.6
421,2026-01-25,desktop,email,Salzburg,3,19,90.7
422,2026-04-07,tablet,paid_search,Rome,1,10,196.8
423,2026-07-18,desktop,email,Hamburg,5,8,189.7
424,2026-03-23,desktop,direct,Munich,4,17,57.2
425,2026-01-20,mobile,direct,Paris,4,10,36.2
426,2026-05-27,mobile,direct,Cologne,1,9,25.7
427,2026-08-27,mobile,direct,Rome,2,10,49.9
428,2026-08-11,desktop,organic_search,Munich,5,13,107.0
429,2026-08-23,mobile,organic_search,Frankfurt,4,6,175.0
430,2026-04-09,mobile,paid_search,Barcelona,5,8,101.7
431,2026-08-02,mobile,direct,Hamburg,6,22,185.4
432,2026-01-02,mobile,organic_search,Hamburg,4,22,63.6
433,2026-01-19,mobile,organic_search,Frankfurt,4,11,139.4
434,2026-07-02,desktop,organic_search,Amsterdam,4,4,133.5
435,2026-01-07,mobile,email,Amsterdam,3,9,372.4
436,2026-05-26,mobile,email,Amsterdam,5,12,42.5
437,2026-05-30,mobile,organic_search,Cologne,3,13,372.0
438,2026-02-17,mobile,direct,Barcelona,3,11,321.8
439,2026-02-10,mobile,direct,Vienna,5,24,43.9
440,2026-02-10,desktop,organic_search,Frankfurt,7,20,105.8
441,2026-08-16,mobile,paid_search,Paris,6,11,251.0
442,2026-02-20,mobile,organic_search,Paris,5,24,18.8
443,2026-06-09,mobile,paid_search,Paris,5,23,50.5
444,2026-07-27,tablet,organic_search,Salzburg,1,10,4.5
445,2026-07-27,desktop,organic_search,Vienna,4,23,180.5
446,2026-03-08,desktop,affiliate,Munich,5,23,15.9
447,2026-08-29,mobile,paid_search,Rome,3,10,85.2
448,2026-03-29,mobile,organic_search,Cologne,6,9,138.3
449,2026-08-16,mobile,organic_search,Frankfurt,6,16,32.8
450,2026-03-09,mobile,organic_search,Frankfurt,7,20,337.5
451,2026-01-26,mobile,paid_search,Vienna,7,17,160.0
452,2026-05-20,desktop,organic_search,Frankfurt,4,16,189.2
453,2026-08-26,tablet,organic_search,Hamburg,1,9,101.8
